,CVE_CLPV
1000,        85
1001,      6205
1002,      6205
1003,      4029
1004,      3577
1005,      3346
1006,      3577
1007,      6948
1008,      6950
1009,      6943
1010,      2067
1011,      5019
1012,      5926
1013,      4605
1014,      5928
1015,      5928
1016,      5668
1017,      5181
1018,      5926
1019,      1965
1020,      6636
1021,      3521
1022,      5926
1023,      6354
1024,      3437
1025,      3437
1026,      2357
1027,      4581
1028,      5728
1029,      5926
1030,      5966
1031,      6952
1032,      2483
1033,       150
1034,      5941
1035,      6894
1036,      5926
1037,      5926
1038,      5926
1039,      5926
1040,      3032
1041,      2535
1042,      5589
1043,      5926
1044,      5926
1045,      5926
1046,      6848
1047,      6946
1048,      4859
1049,      5973
1050,         6
1051,      5926
1052,      5926
1053,      5926
1054,      1852
1055,      3916
1056,      5121
1057,      6954
1058,      2071
1059,      2235
1060,      6059
1061,      3598
1062,      6956
1063,      5926
1064,      5926
1065,        85
1066,      3846
1067,      3846
1068,      6689
1069,      2768
1070,      6949
1071,      4687
1072,      5728
1073,      3032
1074,      3032
1075,      3032
1076,      3032
1077,      5782
1078,      6047
1079,      3930
1080,      6959
1081,      3930
1082,      2465
1083,      5935
1084,      1290
1085,      1284
1086,      6958
1087,      5207
1088,      5728
1089,      6491
1090,      6486
1091,      6502
1092,      6211
1093,      1284
1094,      5926
1095,      5331
1096,      6960
1097,      6942
1098,       209
1099,      5926
1100,       310
1101,      6205
1102,      5926
1103,       856
1104,      5926
1105,      6871
1106,       644
1107,         6
1108,      5561
1109,       322
1110,      6401
1111,      6957
1112,      6538
1113,      6572
1114,      6961
1115,3612C
1116,3612C
1117,      5589
1118,      3686
1119,      3686
1120,      1339
1121,      1289
1122,      2465
1123,      6962
1124,      5926
1125,      6946
1126,      5926
1127,      5977
1128,      2465
1129,      6005
1130,      2390
1131,      5941
1132,      6963
1133,      1339
1134,      6401
1135,      5207
1136,      5926
1137,      1852
1138,      5926
1139,      6901
1140,       484
1141,      6052
1142,      5926
1143,      6572
1144,      6962
1145,      6966
1146,      5935
1147,      4802
1148,      6547
1149,      5173
1150,      5150
1151,      5966
1152,      6962
1153,      2768
1154,      2768
1155,      2768
1156,      2768
1157,       466
1158,       466
1159,      3803
1160,      6968
1161,      4605
1162,      6969
1163,      6969
1164,      1240
1165,      5194
1166,      5165
1167,3612C
1168,      6971
1169,      6971
1170,      5894
1171,       484
1172,       150
1173,      6869
1174,      6426
1175,      5894
1176,       169
1177,      2385
1178,      6948
1179,      2385
1180,         9
1181,      5633
1182,      4834
1183,      6972
1184,      6973
1185,      3014
1186,      5855
1187,      5991
1188,        87
1189,      6947
1190,      6823
1191,      6823
1192,      6975
1193,      6974
1194,      3033
1195,      5926
1196,      6454
1197,       806
1198,         9
1199,      6204
1200,      1339
1201,      1339
1202,       871
1203,      5926
1204,      6457
1205,      2269
1206,       537
1207,      5088
1208,      5088
1209,      2941
1210,      2390
1211,      6865
1212,      1020
1213,       806
1214,      3521
1215,      6381
1216,      6976
1217,       484
1218,      6901
1219,      1784
1220,      5309
1221,      6022
1222,      6158
1223,      5926
1224,      4535
1225,      3856
1226,      6342
1227,      6961
1228,      5561
1229,      6196
1230,      5926
1231,      5926
1232,      6722
1233,      4548
1234,      6405
1235,      6342
1236,      5598
1237,      5926
1238,      6975
1239,      3959
1240,      5926
1241,      5926
1242,      6964
1243,      5973
1244,      6977
1245,      5926
1246,      5926
1247,      5926
1248,      5926
1249,      5926
1250,      6950
1251,      6454
1252,       925
1253,       925
1254,      4889
1255,      6725
1256,      5926
1257,      6974
1258,      6974
1259,      6965
1260,      5926
1261,      5926
1262,      6725
1263,      6786
1264,      5926
1265,      6441
1266,      5926
1267,      6978
1268,      6946
1269,      6921
1270,      5926
1271,      6491
1272,      5956
1273,      6952
1274,      2837
1275,      6232
1276,      3912
1277,      5819
1278,      7001
1279,      5072
1280,      4737
1281,      3803
1282,      3630
1283,      5926
1284,      1289
1285,      2768
1286,      2029
1287,      2768
1288,      7003
1289,      7004
1290,      6739
1291,      5926
1292,      4631
1293,      4649
1294,      6926
1295,      5728
1296,      5926
1297,      6205
1298,      6205
1299,      1965
1300,       361
1301,3612C
1302,3612C
1303,      5855
1304,      3916
1305,      5926
1306,      3630
1307,      3630
1308,      3630
1309,      5855
1310,       941
1311,      1289
1312,       644
1313,      5872
1314,      6322
1315,      2385
1316,      5691
1317,      5855
1318,      2385
1319,      6202
1320,      3032
1321,      4635
1322,      6787
1323,      6547
1324,      5148
1325,      4486
1326,      6978
1327,      3133
1328,       203
1329,      7006
1330,      5173
1331,      5926
1332,      5956
1333,      7007
1334,      6962
1335,      3931
1336,      7008
1337,      7009
1338,      3513
1339,      7010
1340,      2163
1341,      5886
1342,      5926
1343,      2465
1344,      5108
1345,      6301
1346,      2746
1347,      4563
1348,      7004
1349,      5926
1350,      6825
1351,      6777
1352,      6576
1353,      6949
1354,      5037
1355,      5926
1356,      6787
1357,      1339
1358,      6433
1359,      1089
1360,      7010
1361,      5926
1362,      7013
1363,      6330
1364,      5926
1365,      4430
1366,       251
1367,      6396
1368,      2357
1369,      7011
1370,      6547
1371,      6658
1372,      5926
1373,      3926
1374,      1339
1375,      6848
1376,      7015
1377,      6290
1378,      5926
1379,       403
1380,        93
1381,      4602
1382,      6902
1383,      6917
1384,      6777
1385,      5214
1386,      6901
1387,      5424
1388,      4029
1389,      1158
1390,      6158
1391,      7016
1392,      1429
1393,      4598
1394,      6059
1395,      7018
1396,      5926
1397,      4859
1398,      2901
1399,      6369
1400,       361
1401,      6174
1402,      5926
1403,      6901
1404,      6845
1405,      3686
1406,      6954
1407,      5572
1408,      5926
1409,      3655
1410,      5926
1411,      6962
1412,      6434
1413,O
1414,      5926
1415,      5926
1416,      6787
1417,      5728
1418,      5926
1419,      4631
1420,      3058
1421,      3107
1422,      3379
1423,      5926
1424,      2570
1425,      6202
1426,      7012
1427,      7021
1428,      3107
1429,      3058
1430,      6048
1431,      5926
1432,       871
1433,      5148
1434,      5926
1435,      4797
1436,      3573
1437,      5926
1438,      6253
1439,      6040
1440,      6040
1441,      5039
1442,      6819
1443,      7024
1444,      7025
1445,      6885
1446,      6949
1447,      5271
1448,      5165
1449,      5258
1450,       161
1451,       466
1452,      5804
1453,      7029
1454,      4649
1455,      6503
1456,      6820
1457,      7030
1458,      2465
1459,      4050
1460,      7028
1461,       361
1462,       361
1463,      2595
1464,      6692
1465,       989
1466,      7026
1467,       644
1468,       925
1469,      6850
1470,      5926
1471,      5926
1472,      3686
1473,      5926
1474,      5728
1475,      5728
1476,      5728
1477,      2325
1478,      5663
1479,      5862
1480,      4797
1481,      2279
1482,      5156
1483,      7022
1484,      6607
1485,      5926
1486,      5926
1487,      5926
1488,      4456
1489,      7032
1490,      3011
1491,      5935
1492,      5438
1493,      5926
1494,      3686
1495,      3930
1496,      7006
1497,       871
1498,       466
1499,      5926
1500,      6118
1501,      5416
1502,      5926
1503,      7020
1504,      3602
1505,      3437
1506,       466
1507,      6744
1508,      7034
1509,      5926
1510,      6744
1511,      5458
1512,      2385
1513,      5926
1514,      1130
1515,      6536
1516,      4563
1517,      4900
1518,      3686
1519,      7035
1520,      5926
1521,      7036
1522,      5926
1523,      6434
1524,      6434
1525,      3058
1526,      5177
1527,      5966
1528,      7037
1529,      3951
1530,6781|
1531,      1586
1532,      5424
1533,      6437
1534,      7038
1535,      7039
1536,      5575
1537,      6812
1538,      7040
1539,      5926
1540,      6032
1541,      5853
1542,      5173
1543,       209
1544,      2029
1545,      1158
1546,      6827
1547,      2568
1548,      7023
1549,      7041
1550,       209
1551,      1334
1552,      6838
1553,      6866
1554,      6204
1555,       209
1556,      7019
1557,      3855
1558,      6795
1559,      5926
1560,       209
1561,       871
1562,      6588
1563,      6322
1564,      5926
1565,      6547
1566,      6588
1567,      6839
1568,      6744
1569,      6744
1570,      1083
1571,      5926
1572,      5926
1573,      6538
1574,      5926
1575,      7027
1576,      6553
1577,      3808
1578,      5926
1579,      6118
1580,      5926
1581,      5926
1582,      5926
1583,      7031
1584,      6054
1585,      2568
1586,      3011
1587,      2768
1588,      3011
1589,      6202
1590,      5926
1591,      6354
1592,      5926
1593,      7042
1594,      7043
1595,      7044
1596,      6194
1597,      6939
1598,      6932
1599,      5926
1600,      5926
1601,       856
1602,      2465
1603,      2650
1604,      3630
1605,       253
1606,      5926
1607,        85
1608,      5472
1609,      5472
1610,      1965
1611,      3063
1612,      6973
1613,      2385
1614,      4420
1615,      4420
1616,        42
1617,      5746
1618,      4486
1619,       169
1620,      4480
1621,      6054
1622,       209
1623,      1965
1624,      7031
1625,       251
1626,      3968
1627,      5039
1628,      7045
1629,      7043
1630,      5926
1631,      5106
1632,      3852
1633,      6744
1634,      1158
1635,      5718
1636,       161
1637,       161
1638,      3930
1639,      5985
1640,       209
1641,      4649
1642,       664
1643,      5181
1644,      7047
1645,      7048
1646,      4397
1647,      1586
1648,      7046
1649,       993
1650,      1478
1651,       169
1652,      6928
1653,      1965
1654,      1965
1655,      6232
1656,      4810
1657,      6885
1658,      6846
1659,      7027
1660,      7052
1661,      7052
1662,      7040
1663,      6211
1664,      2876
1665,      5728
1666,      6538
1667,      1125
1668,      5603
1669,      4631
1670,      5847
1671,       251
1672,      7019
1673,      6921
1674,      5575
1675,      6921
1676,      6536
1677,      2542
1678,      7044
1679,      1083
1680,      7005
1681,      4480
1682,       632
1683,      4381
1684,      6040
1685,      6839
1686,      2568
1687,      5926
1688,      5926
1689,      7050
1690,       537
1691,        85
1692,      1852
1693,      5156
1694,       941
1695,      5472
1696,      6457
1697,       806
1698,      5441
1699,      3852
1700,      5926
1701,      3931
1702,      5782
1703,       203
1704,      7054
1705,      3855
1706,      4631
1707,      7055
1708,      7048
1709,      6772
1710,      6159
1711,      4485
1712,      5683
1713,      7056
1714,      6397
1715,      4420
1716,      7057
1717,      6882
1718,      2385
1719,      7023
1720,      3852
1721,      2390
1722,      7058
1723,      5862
1724,      1965
1725,      7053
1726,      7059
1727,      5046
1728,        95
1729,        95
1730,         6
1731,      6266
1732,      5728
1733,      5804
1734,      7030
1735,      5591
1736,      2837
1737,       644
1738,       161
1739,      1289
1740,      6884
1741,      6232
1742,      5046
1743,       403
1744,      5926
1745,      2549
1746,      5926
1747,      5926
1748,      6478
1749,      5926
1750,      4668
1751,      2595
1752,       161
1753,      3666
1754,      6033
1755,      3616
1756,      5173
1757,      2768
1758,      4802
1759,      6118
1760,       169
1761,      5782
1762,       644
1763,      7060
1764,      6658
1765,      4598
1766,      2465
1767,      6377
1768,      5926
1769,      1130
1770,      7061
1771,      6754
1772,      5603
1773,      1130
1774,      3455
1775,      7033
1776,      5926
1777,      3855
1778,      3951
1779,      5926
1780,      3951
1781,      3951
1782,      7045
1783,        43
1784,        43
1785,      3825
1786,      6594
1787,      3951
1788,      5926
1789,      7062
1790,      6744
1791,      6626
1792,      6949
1793,      6744
1794,      6154
1795,       806
1796,      5863
1797,       925
1798,      5358
1799,      7062
1800,      7018
1801,      4687
1802,      7065
1803,      6978
1804,      6978
1805,      6573
1806,       357
1807,      1852
1808,      1852
1809,       925
1810,      6016
1811,      6670
1812,      7051
1813,      5926
1814,      7064
1815,      7066
1816,      3033
1817,      4381
1818,      7060
1819,      7068
1820,      7068
1821,      6811
1822,       161
1823,      6457
1824,      7069
1825,      1583
1826,      5233
1827,      7070
1828,      6218
1829,      2768
1830,       687
1831,      3063
1832,      6055
1833,      6027
1834,      5426
1835,      7072
1836,      7072
1837,      3855
1838,      2262
1839,      3437
1840,      7049
1841,      4695
1842,        43
1843,        49
1844,      3032
1845,      4029
1846,      6724
1847,      1130
1848,      6388
1849,      7062
1850,      7073
1851,      5926
1852,      4456
1853,      7074
1854,      6572
1855,      7041
1856,      5926
1857,      5728
1858,       466
1859,      7076
1860,      7064
1861,       357
1862,      6547
1863,      4581
1864,      2262
1865,      3455
1866,      7077
1867,      6808
1868,      2778
1869,      6582
1870,      6412
1871,      5855
1872,      5855
1873,      6198
1874,      5746
1875,      7078
1876,      5691
1877,      3931
1878,      1583
1879,      7079
1880,      6724
1881,      5861
1882,      1130
1883,      1130
1884,      4612
1885,      6198
1886,      7078
1887,       607
1888,      4598
1889,        42
1890,      7080
1891,      3808
1892,      7063
1893,      5926
1894,      7081
1895,      1784
1896,      4598
1897,      6032
1898,      5149
1899,      5149
1900,       989
1901,      3222
1902,      5149
1903,      5926
1904,      7067
1905,      6963
1906,      7079
1907,      6879
1908,      6397
1909,      5926
1910,      7082
1911,      6536
1912,      5915
1913,      6054
1914,      5088
1915,      5416
1916,      6039
1917,      7083
1918,      2610
1919,      5106
1920,      3634
1921,      6573
1922,      7074
1923,       644
1924,       871
1925,      5926
1926,      5926
1927,      5926
1928,      5926
1929,      6478
1930,      3686
1931,      5598
1932,      5926
1933,      5926
1934,       871
1935,      7031
1936,      7075
1937,      6744
1938,      5926
1939,      3806
1940,      5926
1941,      5926
1942,      5926
1943,       993
1944,      5926
1945,      5926
1946,      5926
1947,      5926
1948,      5926
1949,      7060
1950,       357
1951,      5930
1952,      3521
1953,      6754
1954,      5861
1955,      6869
1956,      2901
1957,      1965
1958,      5926
1959,      5926
1960,      5114
1961,      7084
1962,      6381
1963,      7085
1964,      4535
1965,      6478
1966,      5049
1967,      5633
1968,      7085
1969,       417
1970,      6854
1971,      5926
1972,      7055
1973,      7086
1974,      7086
1975,      1198
1976,      1339
1977,      7031
1978,      6760
1979,       993
1980,       941
1981,      2768
1982,      6426
1983,      5926
1984,      7088
1985,      7050
1986,      1913
1987,      5426
1988,      3919
1989,       480
1990,      4480
1991,      7089
1992,      5926
1993,      5728
1994,      6553
1995,      6426
1996,      7090
1997,      3806
1998,      3806
1999,      3806
2000,      7020
